date,total_value
2001-03-14,87398.93
2001-03-15,84203.73
2001-03-16,82106.87999999999
2001-03-19,86420.4
2001-03-20,80609.12999999999
2001-03-21,80609.12999999999
2001-03-22,85501.77999999998
2001-03-23,85501.77999999998
2001-03-26,83524.75
2001-03-27,86400.43
2001-03-28,79311.08
2001-03-29,77813.33
2001-03-30,78212.73
2001-04-02,74717.98
2001-04-03,69246.19999999998
2001-04-04,68028.02999999998
2001-04-05,74538.25
2001-04-06,72521.27999999998
2001-04-09,74019.02999999998
2001-04-10,79510.77999999998
2001-04-11,81907.18
2001-04-12,85501.77999999998
2001-04-16,80409.43
2001-04-17,82406.43
2001-04-18,90993.52999999998
2001-04-19,96485.27999999998
2001-04-20,96684.98
2001-04-23,90194.73
2001-04-24,88497.27999999998
2001-04-25,90094.87999999999
2001-04-26,87798.33
2001-04-27,90194.73
2001-04-30,92191.73
2001-05-01,95986.02999999998
2001-05-02,97843.23999999999
2001-05-03,93489.77999999998
2001-05-04,96285.58
2001-05-07,94288.58
2001-05-08,96285.58
2001-05-09,92990.52999999998
2001-05-10,91432.87
2001-05-11,90993.52999999998
2001-05-14,89535.71999999999
2001-05-15,90194.73
2001-05-16,94188.73
2001-05-17,95686.48
2001-05-18,95966.06
2001-05-21,101977.02999999998
2001-05-22,101677.48
2001-05-23,97184.23
2001-05-24,99680.48
2001-05-25,97863.20999999999
2001-05-29,92131.81999999999
2001-05-30,88756.89
2001-05-31,89355.98999999999
2001-06-01,91992.02999999998
2001-06-04,91552.68999999999
2001-06-05,95586.62999999999
2001-06-06,94847.73999999999
2001-06-07,97284.08
2001-06-08,94588.12999999999
2001-06-11,91992.02999999998
2001-06-12,91492.77999999998
2001-06-13,88996.52999999998
2001-06-14,84403.43
2001-06-15,85102.37999999999
2001-06-18,83964.09
2001-06-19,83544.71999999999
2001-06-20,85441.87
2001-06-21,86600.12999999999
2001-06-22,86400.43
2001-06-25,86620.09999999999
2001-06-26,86919.65
2001-06-27,87478.81
2001-06-28,88597.12999999999
2001-06-29,91293.08
2001-07-02,90793.83
