date,total_value,cash,qqq_val,tqqq_val,qqq_qty,tqqq_qty
2015-02-04,84003.8710389514,660.6810389513994,0.0,83343.19,0,41881
2015-02-05,86097.9210389514,660.6810389513994,0.0,85437.24,0,41881
2015-02-06,84422.6810389514,660.6810389513994,0.0,83762.0,0,41881
2015-02-09,83585.0610389514,660.6810389513994,0.0,82924.38,0,41881
2015-02-10,87773.1610389514,660.6810389513994,0.0,87112.48,0,41881
2015-02-11,88610.7810389514,660.6810389513994,0.0,87950.1,0,41881
2015-02-12,91542.4510389514,660.6810389513994,0.0,90881.77,0,41881
2015-02-13,94004.2545762589,51678.8545762589,0.0,42325.4,0,18980
2015-02-17,93961.97505902141,9367.625059021404,42268.950000000004,42325.4,395,18980
2015-02-18,94211.0250590214,9367.625059021404,42328.2,42515.200000000004,395,18980
2015-02-19,95179.57505902139,9367.625059021404,42537.549999999996,43274.399999999994,395,18980
2015-02-20,96223.17505902139,9367.625059021404,42821.95,44033.6,395,18980
2015-02-23,96456.4250590214,9367.625059021404,42865.4,44223.4,395,18980
2015-02-24,96677.8250590214,9367.625059021404,42897.0,44413.2,395,18980
2015-02-25,96191.5750590214,9367.625059021404,42790.35,44033.6,395,18980
2015-02-26,96978.22505902141,9367.625059021404,43007.6,44603.0,395,18980
2015-02-27,96219.22505902141,9367.625059021404,42818.0,44033.6,395,18980
2015-03-02,97745.1250590214,9367.625059021404,43205.1,45172.4,395,18980
2015-03-03,96974.2750590214,9367.625059021404,43003.65,44603.0,395,18980
2015-03-04,96238.97505902141,9367.625059021404,42837.75,44033.6,395,18980
2015-03-05,96503.82505902142,9367.625059021404,42912.8,44223.4,395,18980
2015-03-06,94499.5750590214,9367.625059021404,42426.95,42705.0,395,18980
2015-03-09,95191.42505902139,9367.625059021404,42549.4,43274.399999999994,395,18980
2015-03-10,91892.2760988714,51085.27609887141,0.0,40807.0,0,18980
2015-03-11,91082.8898654489,861.3998654489042,0.0,90221.48999999999,0,42759
2015-03-12,92793.24986544889,861.3998654489042,0.0,91931.84999999999,0,42759
2015-03-13,91510.4798654489,861.3998654489042,0.0,90649.08,0,42759
2015-03-16,95307.2169419039,52395.646941903906,0.0,42911.57,0,19417
2015-03-17,95458.41446146893,9390.93446146891,42961.740000000005,43105.740000000005,402,19417
2015-03-18,97045.53446146891,9390.93446146891,43383.840000000004,44270.759999999995,402,19417
2015-03-19,97304.02446146891,9390.93446146891,43448.159999999996,44464.93,402,19417
2015-03-20,98455.77446146891,9390.93446146891,43629.06,45435.78,402,19417
2015-03-23,97983.0144614689,9390.93446146891,43544.64,45047.439999999995,402,19417
2015-03-24,97437.89446146891,9390.93446146891,43387.86,44659.1,402,19417
2015-03-25,93101.6801401989,51743.47014019891,0.0,41358.21,0,19417
2015-03-26,92856.68315662892,878.3631566289041,0.0,91978.32,0,43386
2015-03-27,93290.5431566289,878.3631566289041,0.0,92412.18,0,43386
2015-03-30,97142.71782124892,53404.277821248914,0.0,43738.44,0,19702
2015-03-31,95719.1156750489,9541.865675048919,43084.799999999996,43092.45,408,20043
2015-04-01,94650.14599014891,52359.415990148926,0.0,42290.729999999996,0,20043
2015-04-02,94799.15313764893,897.9931376489258,0.0,93901.16,0,44293
2015-04-06,97013.80313764892,897.9931376489258,0.0,96115.81,0,44293
2015-04-07,96127.94313764892,897.9931376489258,0.0,95229.95,0,44293
2015-04-08,98732.10311599393,54277.95311599393,0.0,44454.15,0,20115
2015-04-09,99491.94365892644,9484.923658926433,44748.270000000004,45258.75,417,20115
2015-04-10,100278.87365892643,9484.923658926433,44931.75,45862.2,417,20115
2015-04-13,99763.98365892643,9484.923658926433,44819.16,45459.899999999994,417,20115
2015-04-14,99232.41365892644,9484.923658926433,44689.89,45057.600000000006,417,20115
2015-04-15,100316.40365892643,9484.923658926433,44969.28,45862.2,417,20115
2015-04-16,100052.70365892643,9484.923658926433,44906.729999999996,45661.05,417,20115
2015-04-17,97095.29854046894,53646.89854046894,0.0,43448.4,0,20115
2015-04-20,99054.12963653394,938.4896365339446,0.0,98115.63999999998,0,43414
2015-04-21,100302.30623077645,55141.21623077645,0.0,45161.090000000004,0,19721
2015-04-22,101045.71917685146,9680.089176851456,45415.700000000004,45949.93,418,19721
2015-04-23,101808.72917685146,9680.089176851456,45587.08,46541.56,418,19721
2015-04-24,104005.04917685146,9680.089176851456,46205.72,48119.24,418,19721
2015-04-27,103690.79917685146,9680.089176851456,46088.68,47922.030000000006,418,19721
2015-04-28,103401.62917685145,9680.089176851456,45996.72,47724.82,418,19721
2015-04-29,102127.15917685145,9680.089176851456,45708.299999999996,46738.770000000004,418,19721
2015-04-30,99238.88917685146,9680.089176851456,44989.34,44569.46,418,19721
2015-05-01,101607.33917685146,9680.089176851456,45582.9,46344.35,418,19721
2015-05-04,101879.78917685145,9680.089176851456,45658.14,46541.56,418,19721
2015-05-05,98966.43917685145,9680.089176851456,44914.1,44372.25,418,19721
2015-05-06,97473.85917685146,9680.089176851456,44604.78,43188.99,418,19721
2015-05-07,98727.42917685145,9680.089176851456,44872.299999999996,44175.04,418,19721
2015-05-08,100865.22917685146,9680.089176851456,45432.42,45752.719999999994,418,19721
2015-05-11,100098.03917685145,9680.089176851456,45256.86,45161.090000000004,418,19721
2015-05-12,99301.58917685146,9680.089176851456,45052.04,44569.46,418,19721
2015-05-13,99590.75917685145,9680.089176851456,45144.0,44766.67,418,19721
2015-05-14,102420.50917685145,9680.089176851456,45804.44,46935.979999999996,418,19721
2015-05-15,102420.50917685145,9680.089176851456,45804.44,46935.979999999996,418,19721
2015-05-18,103015.56917685145,9680.089176851456,46005.08,47330.4,418,19721
2015-05-19,102965.40917685145,9680.089176851456,45954.92,47330.4,418,19721
